0
open_min_10
open_max_10
open_min_20
open_max_20
high_min_10
high_max_10
high_min_20
high_max_20
low_min_10
low_max_10
low_min_20
low_max_20
close_min_10
close_max_10
close_min_20
close_max_20
volume_max_10
volume_max_20
